url,telephone,name,atype,description,numberOfRooms,floorSize,numberOfBathroomsTotal,numberOfBedrooms,address,imobiliaria
https://www.imovelweb.com.br/propriedades/casa-com-2-dormitorios-a-venda-80-m-jardim-rosa-2999958106.html,55 11970871238,"Casa à venda com 2 Quartos, Butantã, São Paulo - R$ 425.000, 125 m2 - ID: 2999958106 - Imovelweb",House,"Vendo casa em terreno de 125m², área construída de aproximadamente 80m², com 2 dormitórios, sala, cozinha e banheiro, 1 vaga de garagem, qu...Butantã",2,125,2,2,"Rua Professor Júlio do Amaral Carvalho 40, São Paulo, São Paulo, Brasil, , Butantã",CRISTAL CONSULTORIA IMOBILIÁRIA
https://www.imovelweb.com.br/propriedades/casa-na-penha-3013516282.html,55 11984223018,"Casa à venda com 3 Quartos, Penha de França, São Paulo - R$ 430.000, 210 m2 - ID: 3013516282 - Imovelweb",House,"***CONTATO VIA WHATSAPP*** LINDO IMÓVEL NA PENHA COM 3 QUARTOS , SENDO 1 SUITE, 2 BANHEIROS , SALA, COZINHA, 2 GARAGENS com ótima localiz...Penha de França",3,210,2,3,"Rua Major Ângelo Zanchi, São Paulo, São Paulo, Brasil, , Penha de França",Guimarães Imóveis
https://www.imovelweb.com.br/propriedades/versatil-casa-tipo-para-venda-com-3-quartos-192.6m-3013699133.html,55 11947122570,"Casa à venda com 3 Quartos, Horto Florestal, São Paulo - R$ 795.500, 188 m2 - ID: 3013699133 - Imovelweb",House,"remaxmamede#UJIUU - Elegância e conforto em um só imóvel! Aproveite esta oferta única. - Casa de m de Área Útil, quartos, mais quarto de em...Horto Florestal",3,188,3,3,"Rua Maria Lopes, , , São Paulo, São Paulo, Brasil, , Horto Florestal",RE/MAX MAMEDE
https://www.imovelweb.com.br/propriedades/casa-em-rua-fechada-500m-morumbi-3013290893.html,55 11973300750,"Casa à venda com 4 Quartos, Fazenda Morumbi, São Paulo - R$ 4.500.000, 546 m2 - ID: 3013290893 - Imovelweb",House,"Excelente residência à venda em rua tranquila, monitorada e com ronda 24 horas, próxima ao Colégio Pio XII e com fácil acesso às escolas in...Fazenda Morumbi",4,546,4,4,"R Ribeiro Lisboa, São Paulo, São Paulo, Brasil, , Fazenda Morumbi",Siga Imóveis Sob Medida
https://www.imovelweb.com.br/propriedades/campo-belo-casa-de-vila-para-venda-com-2-quartos-3010847509.html,55 11978737575,"Casa à venda com 2 Quartos, Campo Belo, São Paulo - R$ 1.399.000, 100 m2 - ID: 3010847509 - Imovelweb",House,"Descubra o seu refúgio perfeito nesta charmosa Casa de Vila, morando com segurança de uma casa de condomínio ! Localizada em uma vila com ...Campo Belo",2,100,4,2,"R Vicente Leporace, São Paulo, São Paulo, Brasil, , Campo Belo",Imobiliária Home SP Imóveis
https://www.imovelweb.com.br/propriedades/sobrado-com-2-dormitorios-a-venda-81-m-por-r$-3012324869.html,55 11988383532,"Casa à venda com 2 Quartos, Vila Leopoldina, São Paulo - R$ 1.200.000, 100 m2 - ID: 3012324869 - Imovelweb",House,"Sobrado de Vila para venda na Vila Leopoldina com 81m² Vila localizada em plena Rua Nanuque, rua tranquila, próxima a todo comércio lo...Vila Leopoldina",2,100,2,2,"Rua Nanuque 177, São Paulo, São Paulo, Brasil, , Vila Leopoldina",N3W IMÓVEIS - CRECI/SP 25667-J
https://www.imovelweb.com.br/propriedades/casa-a-venda-na-vila-mariana-2974297341.html,55 1155554399,"Casa à venda com 3 Quartos, Vila Mariana, São Paulo - R$ 1.900.000, 404 m2 - ID: 2974297341 - Imovelweb",House,"Casa na Vila Mariana com 275m², 3 quartos sendo 2 suítes, todos com armários embutidos, lavabo, banheiro social, sala para 2 ambientes com ...Vila Mariana",3,404,4,3,"Pero Correia , São Paulo, São Paulo, Brasil, , Vila Mariana",Rizk Imoveis
https://www.imovelweb.com.br/propriedades/casa-a-venda-com-150m-com-3-quartos-e-2-banheiros-3012804688.html,55 11950352116,"Casa à venda com 3 Quartos, Parque Continental, São Paulo - R$ 850.000, 187 m2 - ID: 3012804688 - Imovelweb",House,"Casa Térrea Espaçosa no Parque Continental – Conforto, Funcionalidade e Localização Privilegiada Se você procura um imóvel compl...Parque Continental",3,187,2,3,"Rua Alfredo Pinheiro, São Paulo, São Paulo, Brasil, , Parque Continental",MK Prime Imoveis
https://www.imovelweb.com.br/propriedades/casa-de-alto-padrao-no-jardim-sao-bento-4-suites-3011162781.html,55 11962726666,"Casa à venda com 4 Quartos, Jardim São Bento, São Paulo - R$ 4.000.000, 1057 m2 - ID: 3011162781 - Imovelweb",House,"Casa localizada no prestigiado Jardim São Bento, uma das áreas mais valorizadas da Zona Norte de São Paulo, esta mansão oferece 823 m² de á...Jardim São Bento",4,1057,10,4,"R Nursia, 214, São Paulo, São Paulo, Brasil, , Jardim São Bento",CARLOS FERRARI IMOVEIS
https://www.imovelweb.com.br/propriedades/casa-a-venda-com-550m-jardim-paulista-sp.-3013226068.html,55 11993566443,"Casa à venda com 5 Quartos, Jardim Paulista, São Paulo - R$ 12.999.958, 550 m2 - ID: 3013226068 - Imovelweb",House,"Casa com 550m², sendo 5 suítes (incluindo a master), 4 vagas de garagem e elevador Montele. Conta com três andares e um rooftop de 48m² com...Jardim Paulista",5,550,9,5,"Colatino Marques 42, São Paulo, São Paulo, Brasil, , Jardim Paulista",OLIMPIA HOUSE
